Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
North America,Niger,Vegetables,Offline,M,7/8/2020,739097344.0,4183.0,167.61,98.93,701112.63,413824.19,287288.44
Middle East and North Africa,Saudi Arabia,Household,Online,H,8/3/2019,474498927.0,3632.0,675.75,508.17,2454324.0,1845673.44,608650.56
North America,The Gambia,Snacks,Online,M,7/23/2017,393111264.0,9214.0,139.94,89.37,1289407.16,823455.18,465951.98
North America,Kenya,Meat,Online,C,12/2/2023,969983184.0,8434.0,421.9,364.7,3558304.6,3075879.8,482424.8
Sub-Saharan Africa,Canada,Snacks,Offline,M,7/12/2018,500476014.0,829.0,163.56,104.45,135591.24,86589.05,49002.19
North America,Angola,Fruits,Offline,H,10/21/2020,950263583.0,2966.0,9.38,6.96,27821.08,20643.36,7177.72
North America,Central African Republic,Snacks,Offline,L,7/5/2020,305332219.0,3444.0,165.45,105.66,569809.8,363893.04,205916.76
Central America and the Caribbean,The Bahamas,Baby Food,Online,C,11/1/2023,221980750.0,7892.0,271.86,169.77,2145519.12,1339824.84,805694.28
Asia,South Korea,Meat,Online,H,6/17/2022,176820504.0,3971.0,397.98,344.02,1580378.58,1366103.42,214275.16
Europe,Kosovo,Office Supplies,Offline,C,5/7/2017,616775310.0,6375.0,664.11,535.36,4233701.25,3412920.0,820781.25
North America,Angola,Clothes,Online,L,9/1/2017,709081494.0,1826.0,109.51,35.92,199965.26,65589.92,134375.34
Europe,Finland,Fruits,Offline,L,9/20/2016,591287887.0,4080.0,8.62,6.39,35169.6,26071.2,9098.4
North America,Mauritania,Personal Care,Offline,H,6/14/2016,921255815.0,8923.0,82.74,57.37,738289.02,511912.51,226376.51
North America,Niger,Meat,Online,M,1/29/2016,627159106.0,9171.0,452.67,391.29,4151436.57,3588520.59,562915.98
Asia,South Korea,Household,Online,L,6/18/2021,957484090.0,9674.0,680.42,511.68,6582383.08,4949992.32,1632390.76
Sub-Saharan Africa,Greenland,Office Supplies,Online,C,1/6/2023,531029593.0,2312.0,618.24,498.38,1429370.88,1152254.56,277116.32
Middle East and North Africa,Lebanon,Vegetables,Offline,C,7/7/2022,286906945.0,996.0,147.2,86.88,146611.2,86532.48,60078.72
Europe,Italy,Clothes,Online,M,4/18/2016,334539973.0,6667.0,107.69,35.32,717969.23,235478.44,482490.79
Europe,Belarus,Snacks,Offline,C,1/16/2022,403665006.0,2300.0,140.03,89.43,322069.0,205689.0,116380.0
Sub-Saharan Africa,United States of America,Beverages,Offline,C,11/12/2018,294330871.0,7900.0,51.81,34.71,409299.0,274209.0,135090.0
Central America and the Caribbean,Saint Kitts and Nevis ,Baby Food,Offline,H,3/22/2017,326898896.0,5503.0,235.67,147.18,1296892.01,809931.54,486960.47
Europe,Poland,Cosmetics,Offline,H,4/13/2017,892042911.0,4175.0,439.75,264.87,1835956.25,1105832.25,730124.0
North America,Kenya,Office Supplies,Offline,H,4/9/2020,200749242.0,5017.0,699.12,563.58,3507485.04,2827480.86,680004.18
North America,Kenya,Clothes,Offline,L,2/17/2017,134316718.0,6157.0,109.51,35.92,674253.07,221159.44,453093.63
Europe,United Kingdom,Household,Online,C,7/30/2022,394356667.0,7756.0,685.69,515.64,5318211.64,3999303.84,1318907.8
Europe,Norway,Fruits,Offline,M,4/29/2018,752792918.0,7008.0,8.73,6.47,61179.84,45341.76,15838.08
North America,Zimbabwe,Snacks,Offline,L,6/8/2017,601861798.0,3136.0,139.94,89.37,438851.84,280264.32,158587.52
Central America and the Caribbean,Saint Lucia,Fruits,Offline,H,9/3/2022,304112136.0,2394.0,9.98,7.4,23892.12,17715.6,6176.52
Middle East and North Africa,United Arab Emirates,Clothes,Online,M,9/24/2022,742405259.0,3069.0,112.02,36.74,343789.38,112755.06,231034.32
North America,Lesotho,Baby Food,Online,L,9/21/2018,169914996.0,478.0,262.74,164.08,125589.72,78430.24,47159.48
Asia,Sri Lanka,Cereal,Offline,H,5/26/2020,960127675.0,1970.0,191.0,108.74,376270.0,214217.8,162052.2
Sub-Saharan Africa,Mexico,Personal Care,Offline,M,8/22/2019,156842124.0,1925.0,88.84,61.6,171017.0,118580.0,52437.0
Middle East and North Africa,Yemen,Vegetables,Offline,L,12/21/2016,724169671.0,6753.0,148.02,87.37,999579.06,590009.61,409569.45
North America,Sao Tome and Principe,Clothes,Offline,C,10/6/2017,296534144.0,9898.0,109.51,35.92,1083929.98,355536.16,728393.82
North America,Guinea,Personal Care,Online,C,11/17/2020,628671872.0,6832.0,80.44,55.77,549566.08,381020.64,168545.44
North America,Sudan,Baby Food,Online,M,6/19/2022,845631682.0,61.0,257.74,160.95,15722.14,9817.95,5904.19
Australia and Oceania,Kiribati,Household,Offline,M,9/24/2019,592774903.0,4122.0,675.75,508.17,2785441.5,2094676.74,690764.76
Asia,Laos,Personal Care,Offline,L,4/21/2022,485775363.0,580.0,89.69,62.19,52020.2,36070.2,15950.0
Europe,Bosnia and Herzegovina,Vegetables,Online,C,3/2/2018,760619390.0,3035.0,151.37,89.34,459407.95,271146.9,188261.05
Asia,Malaysia,Household,Offline,M,11/13/2022,823605811.0,2117.0,685.69,515.64,1451605.73,1091609.88,359995.85
North America,Burkina Faso,Baby Food,Offline,H,9/23/2022,601345956.0,486.0,257.74,160.95,125261.64,78221.7,47039.94
North America,Namibia,Beverages,Offline,L,6/30/2016,990763652.0,7836.0,43.95,29.44,344392.2,230691.84,113700.36
Asia,Taiwan,Clothes,Online,M,2/15/2019,709095227.0,5890.0,107.81,35.36,635000.9,208270.4,426730.5
Europe,Ukraine,Beverages,Online,M,2/19/2020,343889510.0,3403.0,48.74,32.65,165862.22,111107.95,54754.27
North America,Uganda,Meat,Offline,M,9/7/2017,103007829.0,1160.0,436.35,377.19,506166.0,437540.4,68625.6
Central America and the Caribbean,Antigua and Barbuda ,Snacks,Offline,H,5/5/2022,264624011.0,6980.0,140.03,89.43,977409.4,624221.4,353188.0
Central America and the Caribbean,Guatemala,Beverages,Online,C,1/16/2021,727224385.0,711.0,49.88,33.42,35464.68,23761.62,11703.06
Central America and the Caribbean,Honduras,Snacks,Offline,H,2/18/2023,559607779.0,9233.0,167.26,106.82,1544311.58,986269.06,558042.52
Asia,Cambodia,Office Supplies,Online,L,1/10/2019,250885522.0,1456.0,640.48,516.31,932538.88,751747.36,180791.52
Central America and the Caribbean,Panama,Household,Offline,C,6/2/2016,360481441.0,3324.0,725.57,545.63,2411794.68,1813674.12,598120.56
Middle East and North Africa,Jordan,Cosmetics,Online,L,8/22/2023,168131864.0,2810.0,399.45,240.59,1122454.5,676057.9,446396.6
North America,Lesotho,Clothes,Offline,C,7/30/2017,823885619.0,4918.0,109.51,35.92,538570.18,176654.56,361915.62
Europe,Malta,Baby Food,Offline,L,6/25/2018,398104035.0,6686.0,262.74,164.08,1756679.64,1097038.88,659640.76
Europe,Slovenia,Meat,Offline,M,9/25/2020,631460940.0,2180.0,397.31,343.45,866135.8,748721.0,117414.8
Middle East and North Africa,Yemen,Personal Care,Online,C,10/10/2023,184942662.0,7498.0,88.17,61.14,661098.66,458427.72,202670.94
Europe,Moldova ,Snacks,Offline,M,5/1/2016,489848029.0,5772.0,141.5,90.37,816738.0,521615.64,295122.36
Europe,Vatican City,Office Supplies,Online,L,11/27/2022,797788369.0,2162.0,643.16,518.47,1390511.92,1120932.14,269579.78
Europe,United Kingdom,Personal Care,Online,C,6/5/2019,430687510.0,8860.0,88.84,61.6,787122.4,545776.0,241346.4
Middle East and North Africa,Tunisia ,Meat,Offline,M,9/27/2022,130781781.0,90.0,397.98,344.02,35818.2,30961.8,4856.4
Australia and Oceania,Federated States of Micronesia,Vegetables,Offline,H,9/6/2016,710620009.0,7107.0,148.02,87.37,1051978.14,620938.59,431039.55
North America,Equatorial Guinea,Snacks,Online,M,6/13/2016,803063523.0,3197.0,141.5,90.37,452375.5,288912.89,163462.61
Asia,Uzbekistan,Fruits,Online,L,5/13/2019,911286151.0,8678.0,9.06,6.72,78622.68,58316.16,20306.52
Sub-Saharan Africa,Mexico,Cereal,Offline,M,4/2/2016,258774220.0,5897.0,201.4,114.66,1187655.8,676150.02,511505.78
North America,The Gambia,Vegetables,Offline,C,12/4/2017,839326560.0,4236.0,157.9,93.19,668864.4,394752.84,274111.56
Europe,Portugal,Personal Care,Online,H,2/11/2023,667054498.0,5104.0,88.17,61.14,450019.68,312058.56,137961.12
North America,Equatorial Guinea,Meat,Offline,M,11/2/2019,526381862.0,6945.0,394.44,340.96,2739385.8,2367967.2,371418.6
Sub-Saharan Africa,United States of America,Personal Care,Online,C,9/30/2016,822044980.0,232.0,82.74,57.37,19195.68,13309.84,5885.84
Middle East and North Africa,Turkey,Fruits,Offline,C,5/5/2019,229092681.0,2470.0,9.06,6.72,22378.2,16598.4,5779.8
Asia,Singapore,Snacks,Online,C,1/18/2023,642886292.0,3195.0,167.26,106.82,534395.7,341289.9,193105.8
North America,Djibouti,Snacks,Offline,H,2/19/2020,429099643.0,8975.0,165.45,105.66,1484913.75,948298.5,536615.25
North America,Burkina Faso,Cosmetics,Offline,C,7/8/2021,273719060.0,8407.0,418.06,251.8,3514630.42,2116882.6,1397747.82
North America,Sao Tome and Principe,Cosmetics,Offline,L,3/27/2020,933043372.0,7123.0,444.24,267.57,3164321.52,1905901.11,1258420.41
Asia,Laos,Snacks,Online,M,2/11/2021,983683907.0,2783.0,142.54,91.03,396688.82,253336.49,143352.33
Sub-Saharan Africa,Canada,Fruits,Offline,C,7/19/2019,872564494.0,79.0,9.06,6.72,715.74,530.88,184.86
Europe,Denmark,Cereal,Online,H,9/14/2020,666921460.0,5735.0,191.0,108.74,1095385.0,623623.9,471761.1
Australia and Oceania,Nauru,Office Supplies,Online,C,11/19/2019,504303634.0,3507.0,640.48,516.31,2246163.36,1810699.17,435464.19
North America,Ghana,Clothes,Offline,H,1/11/2019,142572343.0,9179.0,107.81,35.36,989587.99,324569.44,665018.55
Sub-Saharan Africa,Greenland,Baby Food,Offline,C,5/14/2017,309901416.0,5570.0,235.67,147.18,1312681.9,819792.6,492889.3
Australia and Oceania,Australia,Personal Care,Offline,H,9/28/2022,454777181.0,7529.0,89.69,62.19,675276.01,468228.51,207047.5
Australia and Oceania,Palau,Cereal,Online,H,8/1/2017,995998466.0,6934.0,200.77,114.3,1392139.18,792556.2,599582.98
Central America and the Caribbean,El Salvador,Snacks,Offline,C,3/25/2021,172676599.0,7698.0,142.54,91.03,1097272.92,700748.94,396523.98
Middle East and North Africa,Algeria,Vegetables,Online,H,6/13/2020,794235408.0,762.0,167.61,98.93,127718.82,75384.66,52334.16
North America,Sao Tome and Principe,Snacks,Online,L,5/9/2023,790411221.0,9100.0,167.26,106.82,1522066.0,972062.0,550004.0
Europe,Austria,Office Supplies,Online,L,3/12/2020,861252868.0,2717.0,699.12,563.58,1899509.04,1531246.86,368262.18
Australia and Oceania,Samoa ,Vegetables,Offline,L,11/10/2019,427121675.0,3650.0,158.59,93.61,578853.5,341676.5,237177.0
North America,Liberia,Personal Care,Offline,L,7/8/2020,778691470.0,965.0,80.44,55.77,77624.6,53818.05,23806.55
Europe,Vatican City,Baby Food,Online,C,5/24/2021,126948583.0,5762.0,230.66,144.04,1329062.92,829958.48,499104.44
Europe,Estonia,Clothes,Offline,H,6/8/2019,353191840.0,6169.0,107.81,35.36,665079.89,218135.84,446944.05
Europe,Belgium,Vegetables,Online,L,5/9/2021,259032571.0,2349.0,143.22,84.53,336423.78,198560.97,137862.81
North America,Senegal,Clothes,Online,M,11/10/2016,516394603.0,1493.0,107.69,35.32,160781.17,52732.76,108048.41
Europe,Georgia,Meat,Offline,L,8/3/2020,517514264.0,2826.0,397.31,343.45,1122798.06,970589.7,152208.36
Europe,United Kingdom,Cosmetics,Offline,H,3/2/2022,624940383.0,2602.0,465.35,280.28,1210840.7,729288.56,481552.14
Australia and Oceania,Solomon Islands,Fruits,Offline,L,11/9/2017,821534287.0,9107.0,9.88,7.33,89977.16,66754.31,23222.85
North America,Gabon,Fruits,Online,M,5/4/2016,260469806.0,7659.0,8.62,6.39,66020.58,48941.01,17079.57
North America,Equatorial Guinea,Vegetables,Online,H,10/18/2019,415233266.0,5606.0,158.59,93.61,889055.54,524777.66,364277.88
Middle East and North Africa,Saudi Arabia,Baby Food,Online,M,2/10/2020,129623496.0,7328.0,236.58,147.74,1733658.24,1082638.72,651019.52
Europe,Malta,Cosmetics,Online,C,10/21/2017,567751824.0,9236.0,439.75,264.87,4061531.0,2446339.32,1615191.68
North America,Swaziland,Cosmetics,Online,L,3/31/2018,264042079.0,4774.0,419.34,252.57,2001929.16,1205769.18,796159.98
Asia,Myanmar,Snacks,Online,H,4/22/2020,973230588.0,9413.0,165.45,105.66,1557380.85,994577.58,562803.27
North America,Swaziland,Vegetables,Online,C,2/15/2020,920366179.0,5660.0,167.61,98.93,948672.6,559943.8,388728.8
Asia,Indonesia,Vegetables,Offline,M,6/26/2022,650810182.0,8050.0,147.2,86.88,1184960.0,699384.0,485576.0
North America,Benin,Clothes,Offline,H,11/15/2023,780236423.0,8151.0,119.17,39.08,971354.67,318541.08,652813.59
North America,Mauritania,Fruits,Offline,C,5/31/2023,644631230.0,9561.0,9.76,7.24,93315.36,69221.64,24093.72
North America,Tanzania,Meat,Online,C,7/4/2023,550293433.0,2910.0,421.9,364.7,1227729.0,1061277.0,166452.0
Middle East and North Africa,Pakistan,Baby Food,Offline,H,1/18/2016,423834359.0,860.0,250.04,156.15,215034.4,134289.0,80745.4
Europe,Spain,Fruits,Offline,H,12/6/2018,262177836.0,3103.0,8.73,6.47,27089.19,20076.41,7012.78
Europe,Croatia,Household,Online,L,5/25/2022,582560193.0,1362.0,685.69,515.64,933909.78,702301.68,231608.1
Central America and the Caribbean,Trinidad and Tobago,Household,Online,H,7/14/2021,172530257.0,4392.0,680.42,511.68,2988404.64,2247298.56,741106.08
Europe,Kosovo,Vegetables,Online,H,7/1/2020,139949357.0,2980.0,167.61,98.93,499477.8,294811.4,204666.4
North America,Lesotho,Beverages,Offline,L,4/16/2016,762991321.0,4942.0,43.95,29.44,217200.9,145492.48,71708.42
Australia and Oceania,Vanuatu,Meat,Offline,C,7/23/2022,140142476.0,128.0,397.98,344.02,50941.44,44034.56,6906.88
Central America and the Caribbean,Costa Rica,Cereal,Offline,C,12/8/2017,940201652.0,5417.0,200.77,114.3,1087571.09,619163.1,468407.99
Australia and Oceania,Marshall Islands,Personal Care,Offline,M,12/23/2019,952280175.0,9720.0,88.84,61.6,863524.8,598752.0,264772.8
Australia and Oceania,Kiribati,Beverages,Online,M,10/23/2020,735801875.0,8981.0,48.74,32.65,437733.94,293229.65,144504.29
Europe,Albania,Clothes,Offline,H,3/9/2023,470503079.0,1172.0,119.17,39.08,139667.24,45801.76,93865.48
Asia,South Korea,Beverages,Online,H,2/21/2019,406432616.0,1298.0,47.12,31.57,61161.76,40977.86,20183.9
Europe,Austria,Beverages,Offline,C,5/10/2023,413951814.0,6395.0,43.24,28.97,276519.8,185263.15,91256.65
Europe,Germany,Office Supplies,Offline,L,8/19/2016,433734500.0,532.0,641.44,517.08,341246.08,275086.56,66159.52
Sub-Saharan Africa,Mexico,Clothes,Offline,H,7/25/2017,926767003.0,9806.0,109.51,35.92,1073855.06,352231.52,721623.54
Europe,Ukraine,Office Supplies,Online,C,11/14/2018,624348151.0,7347.0,601.4,484.81,4418485.8,3561899.07,856586.73
North America,Nigeria,Household,Online,C,5/6/2016,578089272.0,8317.0,725.57,545.63,6034565.69,4538004.71,1496560.98
Europe,Poland,Clothes,Offline,M,3/12/2018,109914195.0,4908.0,109.01,35.75,535021.08,175461.0,359560.08
Middle East and North Africa,Oman,Clothes,Online,H,7/23/2018,862059247.0,1343.0,109.01,35.75,146400.43,48012.25,98388.18
Europe,Georgia,Snacks,Online,C,5/31/2016,947073256.0,8878.0,141.5,90.37,1256237.0,802304.86,453932.14
Australia and Oceania,Tuvalu,Beverages,Offline,M,5/19/2019,797817552.0,798.0,47.12,31.57,37601.76,25192.86,12408.9
Central America and the Caribbean,Panama,Cereal,Offline,C,3/21/2017,917465960.0,7421.0,200.77,114.3,1489914.17,848220.3,641693.87
North America,Central African Republic,Beverages,Offline,C,6/17/2021,529504811.0,1095.0,49.88,33.42,54618.6,36594.9,18023.7
Australia and Oceania,Solomon Islands,Vegetables,Offline,L,8/18/2018,727732932.0,1201.0,151.37,89.34,181795.37,107297.34,74498.03
Middle East and North Africa,Algeria,Baby Food,Offline,H,3/8/2022,426261651.0,9150.0,257.74,160.95,2358321.0,1472692.5,885628.5
Europe,Bosnia and Herzegovina,Personal Care,Online,L,7/24/2020,409514796.0,3383.0,80.44,55.77,272128.52,188669.91,83458.61
Europe,Latvia,Office Supplies,Online,L,5/31/2016,182228696.0,4375.0,641.44,517.08,2806300.0,2262225.0,544075.0
North America,Liberia,Fruits,Offline,C,3/29/2017,219452178.0,9631.0,9.88,7.33,95154.28,70595.23,24559.05
North America,Equatorial Guinea,Cereal,Offline,M,6/20/2016,616546571.0,8686.0,201.4,114.66,1749360.4,995936.76,753423.64
North America,Sierra Leone,Personal Care,Offline,H,12/10/2019,639185702.0,8108.0,88.84,61.6,720314.72,499452.8,220861.92
North America,Republic of the Congo,Personal Care,Online,M,6/4/2019,973355901.0,6496.0,88.84,61.6,577104.64,400153.6,176951.04
Middle East and North Africa,Libya,Personal Care,Online,C,2/8/2019,575355994.0,9479.0,88.84,61.6,842114.36,583906.4,258207.96
Asia,Vietnam,Office Supplies,Online,H,9/2/2016,721797311.0,4719.0,641.44,517.08,3026955.36,2440100.52,586854.84
North America,Djibouti,Cosmetics,Offline,H,3/22/2022,959603679.0,6908.0,465.35,280.28,3214637.8,1936174.24,1278463.56
Asia,Kyrgyzstan,Personal Care,Online,H,8/22/2016,456011426.0,2769.0,82.74,57.37,229107.06,158857.53,70249.53
Central America and the Caribbean,Jamaica,Clothes,Online,M,7/9/2021,248569381.0,6058.0,111.52,36.58,675588.16,221601.64,453986.52
North America,Kenya,Cosmetics,Offline,M,1/31/2022,995138871.0,2561.0,465.35,280.28,1191761.35,717797.08,473964.27
Europe,Bosnia and Herzegovina,Household,Online,C,2/13/2019,723893725.0,5095.0,675.75,508.17,3442946.25,2589126.15,853820.1
North America,Rwanda,Household,Online,C,6/30/2022,683320271.0,8508.0,685.69,515.64,5833850.52,4387065.12,1446785.4
Europe,Norway,Snacks,Offline,L,3/12/2022,392217338.0,4681.0,140.03,89.43,655480.43,418621.83,236858.6
Asia,South Korea,Personal Care,Offline,H,11/5/2016,789696252.0,7525.0,82.74,57.37,622618.5,431709.25,190909.25
Australia and Oceania,Tonga,Fruits,Offline,M,7/3/2017,185180842.0,7981.0,9.88,7.33,78852.28,58500.73,20351.55
Europe,Romania,Baby Food,Offline,C,2/19/2023,108407437.0,9025.0,271.86,169.77,2453536.5,1532174.25,921362.25
Asia,Nepal,Cosmetics,Offline,L,12/30/2023,359424865.0,660.0,399.45,240.59,263637.0,158789.4,104847.6
Europe,Iceland,Snacks,Offline,L,12/20/2022,358594453.0,4922.0,140.03,89.43,689227.66,440174.46,249053.2
Middle East and North Africa,Jordan,Cereal,Online,L,8/27/2016,496590030.0,880.0,201.4,114.66,177232.0,100900.8,76331.2
Europe,Denmark,Snacks,Offline,C,6/3/2019,784397923.0,9631.0,154.99,98.98,1492708.69,953276.38,539432.31
Australia and Oceania,New Zealand,Beverages,Online,H,3/18/2022,403316962.0,9307.0,48.07,32.2,447387.49,299685.4,147702.09
Asia,Vietnam,Fruits,Online,L,1/10/2017,854958474.0,66.0,9.88,7.33,652.08,483.78,168.3
Europe,Cyprus,Meat,Offline,M,6/9/2021,111246287.0,9103.0,418.24,361.54,3807238.72,3291098.62,516140.1
North America,Sao Tome and Principe,Vegetables,Online,C,8/24/2016,264416730.0,5641.0,148.02,87.37,834980.82,492854.17,342126.65
Europe,Poland,Vegetables,Online,L,2/19/2022,777018630.0,5935.0,147.2,86.88,873632.0,515632.8,357999.2
North America,Ghana,Beverages,Offline,M,1/10/2023,731913316.0,8270.0,43.24,28.97,357594.8,239581.9,118012.9
North America,Lesotho,Household,Online,H,1/1/2022,182274615.0,7964.0,685.69,515.64,5460835.16,4106556.96,1354278.2
Europe,Moldova ,Clothes,Offline,H,9/1/2019,601588857.0,2366.0,107.81,35.36,255078.46,83661.76,171416.7
Australia and Oceania,Tonga,Personal Care,Offline,C,1/20/2023,833654868.0,5856.0,88.17,61.14,516323.52,358035.84,158287.68
Central America and the Caribbean,Saint Lucia,Cosmetics,Online,L,2/9/2019,242583978.0,4845.0,460.68,277.47,2231994.6,1344342.15,887652.45
Australia and Oceania,Tonga,Snacks,Online,L,3/16/2019,962800014.0,2774.0,154.99,98.98,429942.26,274570.52,155371.74
Europe,Russia,Vegetables,Offline,L,3/17/2020,249039304.0,5119.0,167.61,98.93,857995.59,506422.67,351572.92
Australia and Oceania,New Zealand,Beverages,Online,C,4/5/2018,826350677.0,4383.0,51.81,34.71,227083.23,152133.93,74949.3
Middle East and North Africa,Lebanon,Cosmetics,Online,L,2/22/2018,540095460.0,5104.0,419.34,252.57,2140311.36,1289117.28,851194.08
Europe,Denmark,Cereal,Online,C,11/30/2023,905947482.0,8847.0,200.03,113.88,1769665.41,1007496.36,762169.05
Europe,Italy,Vegetables,Online,H,7/22/2017,359893071.0,9212.0,157.9,93.19,1454574.8,858466.28,596108.52
North America,Kenya,Meat,Online,L,8/13/2020,108231055.0,6829.0,397.31,343.45,2713229.99,2345420.05,367809.94
North America,Namibia,Cosmetics,Online,M,5/31/2017,977572762.0,4359.0,439.75,264.87,1916870.25,1154568.33,762301.92
Middle East and North Africa,Qatar,Snacks,Online,H,11/5/2023,264842021.0,1494.0,167.26,106.82,249886.44,159589.08,90297.36
Central America and the Caribbean,Cuba,Snacks,Offline,H,7/28/2018,287275159.0,9958.0,163.56,104.45,1628730.48,1040113.1,588617.38
North America,Senegal,Personal Care,Online,M,11/1/2019,732421004.0,8506.0,88.84,61.6,755673.04,523969.6,231703.44
Australia and Oceania,Kiribati,Vegetables,Online,H,3/19/2016,908140885.0,7924.0,148.02,87.37,1172910.48,692319.88,480590.6
Asia,Mongolia,Cosmetics,Offline,H,4/14/2018,192608630.0,6029.0,419.34,252.57,2528200.86,1522744.53,1005456.33
Europe,Poland,Cosmetics,Offline,M,7/20/2022,284310567.0,2670.0,465.35,280.28,1242484.5,748347.6,494136.9
Central America and the Caribbean,Dominican Republic,Meat,Offline,H,10/13/2022,252045524.0,4726.0,397.98,344.02,1880853.48,1625838.52,255014.96
Australia and Oceania,Fiji,Snacks,Offline,M,5/28/2023,584924829.0,1110.0,167.26,106.82,185658.6,118570.2,67088.4
Europe,Bosnia and Herzegovina,Vegetables,Offline,M,2/6/2018,942372310.0,7763.0,151.37,89.34,1175085.31,693546.42,481538.89
Europe,Macedonia,Meat,Online,C,3/16/2023,604124295.0,2659.0,421.9,364.7,1121832.1,969737.3,152094.8
Europe,Kosovo,Fruits,Online,C,3/7/2023,720229613.0,803.0,9.76,7.24,7837.28,5813.72,2023.56
Middle East and North Africa,Oman,Cereal,Online,L,2/17/2017,261049592.0,9230.0,200.77,114.3,1853107.1,1054989.0,798118.1
Europe,Austria,Personal Care,Online,M,7/31/2020,967258059.0,2009.0,80.44,55.77,161603.96,112041.93,49562.03
North America,Sudan,Cosmetics,Offline,L,5/26/2023,599841344.0,5238.0,399.45,240.59,2092319.1,1260210.42,832108.68
North America,Benin,Fruits,Offline,M,11/20/2023,590098273.0,2047.0,9.76,7.24,19978.72,14820.28,5158.44
Middle East and North Africa,Libya,Cereal,Offline,L,10/30/2017,189640176.0,7597.0,200.77,114.3,1525249.69,868337.1,656912.59
Europe,Poland,Cereal,Offline,M,6/10/2017,520390880.0,4080.0,200.77,114.3,819141.6,466344.0,352797.6
Middle East and North Africa,Tunisia ,Cosmetics,Offline,C,6/3/2022,524586713.0,5721.0,465.35,280.28,2662267.35,1603481.88,1058785.47
North America,Mozambique,Personal Care,Offline,H,8/14/2016,114776504.0,3773.0,82.74,57.37,312178.02,216457.01,95721.01
Europe,Bosnia and Herzegovina,Fruits,Offline,L,10/15/2022,623821580.0,1523.0,9.98,7.4,15199.54,11270.2,3929.34
Middle East and North Africa,Lebanon,Cereal,Online,M,2/12/2021,754895770.0,9289.0,204.35,116.34,1898207.15,1080682.26,817524.89
Australia and Oceania,Australia,Beverages,Online,L,7/26/2021,631485402.0,9418.0,49.88,33.42,469769.84,314749.56,155020.28
Middle East and North Africa,United Arab Emirates,Personal Care,Online,L,10/23/2019,447389304.0,1292.0,88.84,61.6,114781.28,79587.2,35194.08
North America,Zambia,Household,Online,M,2/25/2016,916718804.0,6321.0,725.57,545.63,4586327.97,3448927.23,1137400.74
Australia and Oceania,Kiribati,Snacks,Offline,M,10/4/2023,123897731.0,2947.0,167.26,106.82,492915.22,314798.54,178116.68
Europe,Bulgaria,Meat,Online,C,7/20/2016,273662412.0,1644.0,452.67,391.29,744189.48,643280.76,100908.72
Europe,Kosovo,Vegetables,Offline,M,3/8/2021,941061675.0,9917.0,143.22,84.53,1420312.74,838284.01,582028.73
Europe,Moldova ,Meat,Online,M,12/7/2019,421456849.0,7302.0,394.44,340.96,2880200.88,2489689.92,390510.96
Asia,Kyrgyzstan,Meat,Offline,L,3/21/2020,680521762.0,367.0,397.31,343.45,145812.77,126046.15,19766.62
North America,Mozambique,Fruits,Online,M,5/18/2021,604242742.0,7710.0,9.73,7.21,75018.3,55589.1,19429.2
Central America and the Caribbean,Jamaica,Cosmetics,Offline,M,6/14/2018,948918616.0,4960.0,419.34,252.57,2079926.4,1252747.2,827179.2
Europe,Andorra,Cosmetics,Online,H,4/10/2018,291160714.0,9780.0,419.34,252.57,4101145.2,2470134.6,1631010.6
Australia and Oceania,Vanuatu,Fruits,Online,C,10/19/2017,877892863.0,6862.0,9.88,7.33,67796.56,50298.46,17498.1
North America,Seychelles ,Vegetables,Online,M,8/16/2020,976351392.0,2928.0,167.61,98.93,490762.08,289667.04,201095.04
Europe,Georgia,Fruits,Offline,M,1/21/2020,724085128.0,1735.0,9.38,6.96,16274.3,12075.6,4198.7
North America,Seychelles ,Clothes,Offline,H,1/13/2018,778955399.0,9068.0,109.01,35.75,988502.68,324181.0,664321.68
Asia,Turkmenistan,Meat,Online,M,5/9/2023,969136035.0,7744.0,421.9,364.7,3267193.6,2824236.8,442956.8
North America,Namibia,Baby Food,Online,H,9/21/2022,743113362.0,2612.0,257.74,160.95,673216.88,420401.4,252815.48
Asia,Bangladesh,Snacks,Offline,L,9/15/2019,519686210.0,5553.0,154.99,98.98,860659.47,549635.94,311023.53
Central America and the Caribbean,Costa Rica,Meat,Online,C,7/4/2018,337965905.0,477.0,391.97,338.82,186969.69,161617.14,25352.55
North America,Sudan,Fruits,Offline,C,8/8/2022,307376277.0,8326.0,9.98,7.4,83093.48,61612.4,21481.08
Asia,Vietnam,Vegetables,Offline,H,5/23/2023,157653653.0,2074.0,141.08,83.27,292599.92,172701.98,119897.94
Australia and Oceania,New Zealand,Cosmetics,Offline,C,9/12/2016,588846862.0,1727.0,447.9,269.77,773523.3,465892.79,307630.51
North America,Niger,Personal Care,Offline,C,12/24/2018,121317231.0,9319.0,83.41,57.84,777297.79,539010.96,238286.83
Central America and the Caribbean,Trinidad and Tobago,Snacks,Online,C,11/2/2020,945738589.0,3920.0,165.45,105.66,648564.0,414187.2,234376.8
Middle East and North Africa,Lebanon,Clothes,Offline,H,6/29/2021,373097264.0,6626.0,111.52,36.58,738931.52,242379.08,496552.44
Central America and the Caribbean,Saint Lucia,Vegetables,Offline,M,11/22/2017,284692084.0,5569.0,157.9,93.19,879345.1,518975.11,360369.99
