,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
2081,Asia,Myanmar,Vegetables,Offline,C,6/19/2019,217722690,7837,$158.59,$93.61,$1242869.83,$733621.57,$509248.26
2082,Europe,Ukraine,Cosmetics,Online,L,1/18/2017,329529607,3988,$439.75,$264.87,$1753723.0,$1056301.56,$697421.44
2083,North America,Burkina Faso,Cosmetics,Online,C,4/30/2019,806041419,4423,$460.68,$277.47,$2037587.64,$1227249.81,$810337.83
2084,Europe,Ireland,Fruits,Online,L,5/30/2016,223869454,6801,$8.62,$6.39,$58624.62,$43458.39,$15166.23
2085,North America,Mozambique,Personal Care,Offline,M,5/28/2018,829937541,5816,$83.41,$57.84,$485112.56,$336397.44,$148715.12
2086,Asia,Sri Lanka,Beverages,Online,L,5/3/2023,891482007,8191,$43.24,$28.97,$354178.84,$237293.27,$116885.57
2087,North America,Republic of the Congo,Cosmetics,Online,L,7/3/2018,546051681,7682,$419.34,$252.57,$3221369.88,$1940242.74,$1281127.14
2088,Asia,Brunei,Baby Food,Offline,C,6/5/2019,451507890,73,$279.84,$174.76,$20428.32,$12757.48,$7670.84
2089,North America,Guinea,Cosmetics,Offline,H,4/27/2021,436024463,8183,$418.06,$251.8,$3420984.98,$2060479.4,$1360505.58
2090,Central America and the Caribbean,Panama,Cosmetics,Online,M,11/25/2022,848087728,6860,$465.35,$280.28,$3192301.0,$1922720.8,$1269580.2
2091,North America,Angola,Household,Online,L,4/20/2021,306496512,7984,$680.42,$511.68,$5432473.28,$4085253.12,$1347220.16
2092,North America,Kenya,Beverages,Online,M,2/25/2021,650362145,5466,$49.88,$33.42,$272644.08,$182673.72,$89970.36
2093,Europe,Czech Republic,Office Supplies,Offline,H,5/11/2018,189108455,249,$601.4,$484.81,$149748.6,$120717.69,$29030.91
2094,Europe,Sweden,Fruits,Offline,L,1/14/2023,452471768,5306,$9.76,$7.24,$51786.56,$38415.44,$13371.12
2095,Australia and Oceania,East Timor,Snacks,Online,C,11/13/2017,340500915,642,$139.94,$89.37,$89841.48,$57375.54,$32465.94
2096,Asia,Philippines,Cosmetics,Online,C,4/23/2019,173557221,8293,$460.68,$277.47,$3820419.24,$2301058.71,$1519360.53
2097,North America,Togo,Office Supplies,Offline,H,12/15/2017,342314517,7327,$664.11,$535.36,$4865933.97,$3922582.72,$943351.25
2098,Asia,Taiwan,Vegetables,Offline,M,8/10/2022,857759130,8843,$147.2,$86.88,$1301689.6,$768279.84,$533409.76
2099,North America,Zimbabwe,Baby Food,Offline,H,8/20/2016,901189887,969,$250.04,$156.15,$242288.76,$151309.35,$90979.41
2100,Europe,Germany,Cereal,Offline,M,4/30/2022,174218118,3867,$213.22,$121.39,$824521.74,$469415.13,$355106.61
2101,North America,Togo,Office Supplies,Offline,L,5/25/2023,248767650,4731,$618.24,$498.38,$2924893.44,$2357835.78,$567057.66
2102,North America,Sudan,Personal Care,Online,C,4/30/2019,517074811,2782,$88.84,$61.6,$247152.88,$171371.2,$75781.68
2103,Asia,Indonesia,Fruits,Online,C,11/23/2018,441688430,4277,$8.73,$6.47,$37338.21,$27672.19,$9666.02
2104,Australia and Oceania,Solomon Islands,Clothes,Offline,M,5/11/2016,905469834,7500,$107.69,$35.32,$807675.0,$264900.0,$542775.0
2105,North America,Equatorial Guinea,Household,Offline,M,5/27/2020,161592853,7771,$660.77,$496.9,$5134843.67,$3861409.9,$1273433.77
2106,Middle East and North Africa,Libya,Fruits,Online,C,1/23/2018,583543813,2437,$8.73,$6.47,$21275.01,$15767.39,$5507.62
2107,North America,Burundi,Snacks,Online,L,5/13/2016,115121543,5878,$141.5,$90.37,$831737.0,$531194.86,$300542.14
2108,Europe,Germany,Meat,Online,H,5/28/2021,820437371,4505,$418.24,$361.54,$1884171.2,$1628737.7,$255433.5
2109,North America,Mali,Office Supplies,Offline,H,11/2/2023,333915126,1761,$618.24,$498.38,$1088720.64,$877647.18,$211073.46
2110,Europe,Slovenia,Personal Care,Offline,L,2/6/2018,410291135,3119,$83.41,$57.84,$260155.79,$180402.96,$79752.83
2111,Europe,Andorra,Baby Food,Offline,C,6/24/2021,174614226,1085,$230.66,$144.04,$250266.1,$156283.4,$93982.7
2112,North America,Zambia,Office Supplies,Online,M,1/15/2020,172245728,194,$699.12,$563.58,$135629.28,$109334.52,$26294.76
2113,Europe,Vatican City,Snacks,Offline,L,6/2/2017,118859469,2013,$139.94,$89.37,$281699.22,$179901.81,$101797.41
2114,Middle East and North Africa,Algeria,Clothes,Online,H,9/23/2018,250441777,142,$109.01,$35.75,$15479.42,$5076.5,$10402.92
2115,Middle East and North Africa,Pakistan,Baby Food,Online,L,10/24/2016,873291480,5210,$250.04,$156.15,$1302708.4,$813541.5,$489166.9
2116,Asia,Indonesia,Beverages,Online,L,9/14/2020,114019906,9879,$48.74,$32.65,$481502.46,$322549.35,$158953.11
2117,Europe,Belarus,Cosmetics,Offline,H,7/30/2023,669550883,3840,$399.45,$240.59,$1533888.0,$923865.6,$610022.4
2118,Central America and the Caribbean,Dominican Republic,Baby Food,Offline,L,3/30/2019,357120740,8818,$279.84,$174.76,$2467629.12,$1541033.68,$926595.44
2119,North America,Zimbabwe,Beverages,Offline,L,5/15/2018,664278304,3567,$51.81,$34.71,$184806.27,$123810.57,$60995.7
2120,Asia,Uzbekistan,Cereal,Offline,M,2/8/2017,898884904,8873,$200.77,$114.3,$1781432.21,$1014183.9,$767248.31
2121,Europe,United Kingdom,Personal Care,Online,M,6/17/2018,439114367,2554,$83.41,$57.84,$213029.14,$147723.36,$65305.78
2122,Middle East and North Africa,Oman,Personal Care,Offline,L,12/6/2018,983453023,4459,$83.41,$57.84,$371925.19,$257908.56,$114016.63
2123,North America,Guinea-Bissau,Cosmetics,Online,H,11/14/2019,700699698,1467,$460.68,$277.47,$675817.56,$407048.49,$268769.07
2124,Central America and the Caribbean,Nicaragua,Cereal,Offline,M,2/11/2016,979965722,2489,$201.4,$114.66,$501284.6,$285388.74,$215895.86
2125,Central America and the Caribbean,Guatemala,Office Supplies,Online,C,7/4/2022,580674922,3468,$643.16,$518.47,$2230478.88,$1798053.96,$432424.92
2126,Europe,Moldova ,Household,Online,M,1/31/2017,582563626,2378,$718.44,$540.27,$1708450.32,$1284762.06,$423688.26
2127,Middle East and North Africa,Kuwait,Snacks,Offline,C,8/8/2020,335680663,4223,$165.45,$105.66,$698695.35,$446202.18,$252493.17
2128,North America,Zimbabwe,Vegetables,Online,L,1/7/2017,610387361,6039,$157.9,$93.19,$953558.1,$562774.41,$390783.69
2129,Australia and Oceania,Palau,Clothes,Online,C,11/9/2017,447357547,1894,$109.51,$35.92,$207411.94,$68032.48,$139379.46
2130,Central America and the Caribbean,Panama,Personal Care,Online,H,7/24/2020,307577550,7887,$80.44,$55.77,$634430.28,$439857.99,$194572.29
2131,Central America and the Caribbean,Dominican Republic,Cosmetics,Online,H,11/9/2019,722346198,7147,$460.68,$277.47,$3292479.96,$1983078.09,$1309401.87
2132,Europe,Latvia,Snacks,Online,M,2/8/2019,943274819,4836,$154.99,$98.98,$749531.64,$478667.28,$270864.36
2133,Asia,Bangladesh,Beverages,Offline,M,12/12/2018,292287242,3145,$51.81,$34.71,$162942.45,$109162.95,$53779.5
2134,Middle East and North Africa,Syria,Vegetables,Offline,C,1/31/2023,411619794,6299,$141.08,$83.27,$888662.92,$524517.73,$364145.19
2135,Europe,Hungary,Office Supplies,Online,H,12/5/2016,313821303,5552,$641.44,$517.08,$3561274.88,$2870828.16,$690446.72
2136,Europe,Slovakia,Beverages,Online,M,9/2/2023,431753098,4191,$43.24,$28.97,$181218.84,$121413.27,$59805.57
2137,Asia,Tajikistan,Baby Food,Online,M,6/30/2017,368589007,2533,$235.67,$147.18,$596952.11,$372806.94,$224145.17
2138,North America,Benin,Vegetables,Offline,M,12/9/2017,247815358,2926,$157.9,$93.19,$462015.4,$272673.94,$189341.46
2139,Australia and Oceania,East Timor,Clothes,Online,L,9/2/2018,263230979,4751,$109.01,$35.75,$517906.51,$169848.25,$348058.26
2140,Central America and the Caribbean,Dominican Republic,Snacks,Offline,C,6/5/2016,228947198,9418,$141.5,$90.37,$1332647.0,$851104.66,$481542.34
2141,North America,Cote d'Ivoire,Vegetables,Offline,C,5/13/2020,929387843,5371,$167.61,$98.93,$900233.31,$531353.03,$368880.28
2142,Europe,Bosnia and Herzegovina,Household,Online,C,12/28/2017,969289243,3082,$718.44,$540.27,$2214232.08,$1665112.14,$549119.94
2143,North America,Burundi,Office Supplies,Offline,M,10/22/2016,823700225,56,$641.44,$517.08,$35920.64,$28956.48,$6964.16
2144,Asia,Sri Lanka,Clothes,Online,C,10/24/2017,587982118,5830,$109.51,$35.92,$638443.3,$209413.6,$429029.7
2145,Middle East and North Africa,Pakistan,Cereal,Online,C,4/9/2019,427808749,6971,$197.33,$112.34,$1375587.43,$783122.14,$592465.29
2146,Central America and the Caribbean,The Bahamas,Household,Offline,H,7/13/2020,129166448,2077,$660.77,$496.9,$1372419.29,$1032061.3,$340357.99
2147,Asia,India,Personal Care,Offline,H,3/14/2018,448354041,6779,$83.41,$57.84,$565436.39,$392097.36,$173339.03
2148,Europe,Norway,Snacks,Offline,M,7/17/2017,861982858,8738,$139.94,$89.37,$1222795.72,$780915.06,$441880.66
2149,Asia,China,Meat,Online,C,1/30/2023,916976726,2645,$421.9,$364.7,$1115925.5,$964631.5,$151294.0
2150,North America,Rwanda,Office Supplies,Online,L,4/10/2017,680571973,5225,$664.11,$535.36,$3469974.75,$2797256.0,$672718.75
2151,Europe,Italy,Meat,Online,M,2/21/2022,290317428,233,$397.98,$344.02,$92729.34,$80156.66,$12572.68
2152,Asia,India,Office Supplies,Online,H,6/23/2022,404074418,3455,$643.16,$518.47,$2222117.8,$1791313.85,$430803.95
2153,Sub-Saharan Africa,Greenland,Snacks,Offline,H,7/4/2017,850016772,7707,$139.94,$89.37,$1078517.58,$688774.59,$389742.99
2154,Central America and the Caribbean,The Bahamas,Vegetables,Offline,H,8/27/2022,176630818,7839,$147.2,$86.88,$1153900.8,$681052.32,$472848.48
2155,Middle East and North Africa,Afghanistan,Meat,Offline,H,5/5/2020,602715384,5731,$397.31,$343.45,$2276983.61,$1968311.95,$308671.66
2156,Middle East and North Africa,Somalia,Personal Care,Online,L,10/8/2016,367381799,5293,$82.74,$57.37,$437942.82,$303659.41,$134283.41
2157,Middle East and North Africa,Azerbaijan,Fruits,Online,M,12/26/2022,480053889,7469,$9.98,$7.4,$74540.62,$55270.6,$19270.02
2158,Asia,Tajikistan,Office Supplies,Offline,L,10/27/2020,670467984,5231,$699.12,$563.58,$3657096.72,$2948086.98,$709009.74
2159,North America,Djibouti,Personal Care,Online,C,9/2/2019,738672912,8584,$88.84,$61.6,$762602.56,$528774.4,$233828.16
2160,Europe,Slovenia,Clothes,Offline,C,6/2/2022,105030000,9566,$112.02,$36.74,$1071583.32,$351454.84,$720128.48
2161,Europe,Belgium,Beverages,Online,H,8/31/2023,960213077,7242,$43.24,$28.97,$313144.08,$209800.74,$103343.34
2162,Australia and Oceania,Australia,Cereal,Online,M,8/19/2018,615208470,2713,$212.12,$120.77,$575481.56,$327649.01,$247832.55
2163,Sub-Saharan Africa,Greenland,Cosmetics,Offline,H,5/31/2019,951315009,4106,$460.68,$277.47,$1891552.08,$1139291.82,$752260.26
2164,Middle East and North Africa,Lebanon,Beverages,Offline,L,1/1/2016,770144021,1585,$43.95,$29.44,$69660.75,$46662.4,$22998.35
2165,Europe,Hungary,Cosmetics,Offline,L,5/27/2020,743619334,2341,$444.24,$267.57,$1039965.84,$626381.37,$413584.47
2166,Europe,Ireland,Office Supplies,Offline,H,12/15/2022,263977277,5597,$643.16,$518.47,$3599766.52,$2901876.59,$697889.93
2167,Australia and Oceania,Papua New Guinea,Vegetables,Offline,H,11/11/2018,593766677,7609,$151.37,$89.34,$1151774.33,$679788.06,$471986.27
2168,North America,The Gambia,Office Supplies,Offline,C,7/12/2019,815848863,6663,$640.48,$516.31,$4267518.24,$3440173.53,$827344.71
2169,North America,Guinea,Cereal,Online,H,6/29/2018,983397662,8076,$212.12,$120.77,$1713081.12,$975338.52,$737742.6
2170,North America,Tanzania,Household,Offline,H,12/8/2017,769899404,9197,$718.44,$540.27,$6607492.68,$4968863.19,$1638629.49
2171,Europe,Montenegro,Office Supplies,Offline,H,4/23/2017,819152915,4406,$664.11,$535.36,$2926068.66,$2358796.16,$567272.5
2172,Central America and the Caribbean,Cuba,Meat,Offline,C,2/20/2017,495269525,113,$436.35,$377.19,$49307.55,$42622.47,$6685.08
2173,North America,Uganda,Cereal,Offline,M,10/18/2022,132673060,9762,$213.22,$121.39,$2081453.64,$1185009.18,$896444.46
2174,North America,South Sudan,Cereal,Online,H,1/1/2018,586099851,8825,$212.12,$120.77,$1871959.0,$1065795.25,$806163.75
2175,Europe,France,Personal Care,Offline,C,8/13/2023,980598723,9808,$88.17,$61.14,$864771.36,$599661.12,$265110.24
2176,Asia,Malaysia,Fruits,Offline,L,4/9/2021,961531007,7247,$9.73,$7.21,$70513.31,$52250.87,$18262.44
2177,Middle East and North Africa,Jordan,Cosmetics,Offline,M,6/17/2017,244570529,2709,$439.75,$264.87,$1191282.75,$717532.83,$473749.92
2178,North America,Cote d'Ivoire,Snacks,Online,M,6/12/2022,865703618,9793,$140.03,$89.43,$1371313.79,$875787.99,$495525.8
2179,Asia,Singapore,Baby Food,Online,M,6/30/2021,431229102,9129,$230.66,$144.04,$2105695.14,$1314941.16,$790753.98
2180,Central America and the Caribbean,Saint Kitts and Nevis ,Cereal,Offline,H,1/26/2022,667758309,3378,$213.22,$121.39,$720257.16,$410055.42,$310201.74
2181,Asia,China,Household,Online,H,11/30/2016,672215068,2232,$725.57,$545.63,$1619472.24,$1217846.16,$401626.08
2182,North America,Senegal,Cosmetics,Online,H,12/28/2022,961835706,7414,$465.35,$280.28,$3450104.9,$2077995.92,$1372108.98
2183,Asia,Tajikistan,Beverages,Offline,C,3/29/2022,324169051,7681,$48.07,$32.2,$369225.67,$247328.2,$121897.47
2184,North America,Burundi,Baby Food,Offline,M,5/24/2020,767076432,3817,$236.58,$147.74,$903025.86,$563923.58,$339102.28
2185,North America,Mauritius ,Snacks,Online,C,6/16/2020,768731677,3641,$165.45,$105.66,$602403.45,$384708.06,$217695.39
2186,North America,Botswana,Vegetables,Offline,C,12/3/2018,227621114,7001,$151.37,$89.34,$1059741.37,$625469.34,$434272.03
2187,North America,Liberia,Personal Care,Offline,H,2/23/2017,912543570,776,$81.65,$56.61,$63360.4,$43929.36,$19431.04
2188,Central America and the Caribbean,Honduras,Office Supplies,Offline,M,7/17/2017,612610375,3878,$664.11,$535.36,$2575418.58,$2076126.08,$499292.5
2189,Australia and Oceania,Papua New Guinea,Snacks,Offline,L,10/18/2019,787245357,2250,$154.99,$98.98,$348727.5,$222705.0,$126022.5
2190,Central America and the Caribbean,Costa Rica,Meat,Offline,H,2/7/2017,716184842,3865,$436.35,$377.19,$1686492.75,$1457839.35,$228653.4
2191,Sub-Saharan Africa,Canada,Cosmetics,Offline,L,8/22/2022,649477660,3727,$465.35,$280.28,$1734359.45,$1044603.56,$689755.89
2192,North America,Rwanda,Office Supplies,Offline,M,5/14/2020,457485139,8874,$699.12,$563.58,$6203990.88,$5001208.92,$1202781.96
2193,North America,Togo,Beverages,Offline,M,10/21/2023,980881106,3372,$43.24,$28.97,$145805.28,$97686.84,$48118.44
2194,Australia and Oceania,Samoa ,Beverages,Offline,C,10/28/2016,880651891,3319,$43.95,$29.44,$145870.05,$97711.36,$48158.69
2195,North America,Eritrea,Baby Food,Offline,C,11/15/2022,688096320,1847,$257.74,$160.95,$476045.78,$297274.65,$178771.13
2196,North America,Guinea,Vegetables,Offline,H,8/4/2020,554825723,4116,$167.61,$98.93,$689882.76,$407195.88,$282686.88
2197,Australia and Oceania,Vanuatu,Fruits,Offline,H,3/10/2018,702763926,2318,$8.73,$6.47,$20236.14,$14997.46,$5238.68
2198,Europe,Andorra,Clothes,Offline,L,5/18/2017,974147260,677,$109.51,$35.92,$74138.27,$24317.84,$49820.43
2199,North America,Niger,Cosmetics,Offline,H,2/17/2017,381524550,448,$439.75,$264.87,$197008.0,$118661.76,$78346.24
2200,North America,Malawi,Fruits,Online,L,7/4/2017,257757127,4917,$9.88,$7.33,$48579.96,$36041.61,$12538.35
2201,North America,Burundi,Baby Food,Online,C,5/24/2021,206018817,4401,$230.66,$144.04,$1015134.66,$633920.04,$381214.62
2202,North America,Swaziland,Vegetables,Offline,H,1/18/2018,349795949,1249,$151.37,$89.34,$189061.13,$111585.66,$77475.47
2203,Middle East and North Africa,Morocco,Beverages,Offline,L,11/7/2019,882887351,4842,$47.12,$31.57,$228155.04,$152861.94,$75293.1
2204,Europe,Finland,Office Supplies,Online,H,12/21/2017,719404351,6589,$664.11,$535.36,$4375820.79,$3527487.04,$848333.75
2205,Europe,Georgia,Personal Care,Offline,L,7/24/2023,643770778,4934,$88.17,$61.14,$435030.78,$301664.76,$133366.02
2206,Middle East and North Africa,Morocco,Clothes,Online,C,2/17/2018,160722959,350,$109.01,$35.75,$38153.5,$12512.5,$25641.0
2207,Europe,Armenia,Meat,Offline,C,10/1/2022,645309722,342,$397.98,$344.02,$136109.16,$117654.84,$18454.32
2208,North America,Malawi,Cosmetics,Offline,C,4/11/2023,392892396,4446,$399.45,$240.59,$1775954.7,$1069663.14,$706291.56
2209,Europe,Malta,Cereal,Offline,M,7/20/2019,469144809,9229,$197.33,$112.34,$1821158.57,$1036785.86,$784372.71
2210,North America,Angola,Vegetables,Offline,H,11/29/2016,660053288,3291,$148.02,$87.37,$487133.82,$287534.67,$199599.15
2211,Europe,Norway,Cosmetics,Online,L,7/20/2017,821916663,2260,$439.75,$264.87,$993835.0,$598606.2,$395228.8
2212,Central America and the Caribbean,Dominican Republic,Personal Care,Online,M,2/21/2019,431346261,3799,$88.84,$61.6,$337503.16,$234018.4,$103484.76
2213,Europe,Austria,Household,Offline,M,8/27/2016,835265910,2599,$725.57,$545.63,$1885756.43,$1418092.37,$467664.06
2214,Central America and the Caribbean,Saint Kitts and Nevis ,Cosmetics,Online,C,4/4/2023,300911939,5384,$399.45,$240.59,$2150638.8,$1295336.56,$855302.24
2215,Asia,Tajikistan,Cereal,Offline,H,9/4/2018,765833175,5910,$212.12,$120.77,$1253629.2,$713750.7,$539878.5
2216,Asia,Singapore,Baby Food,Offline,C,6/6/2018,187890946,9961,$262.74,$164.08,$2617153.14,$1634400.88,$982752.26
2217,Europe,Greece,Household,Online,L,9/26/2019,195259082,356,$675.75,$508.17,$240567.0,$180908.52,$59658.48
2218,Sub-Saharan Africa,United States of America,Personal Care,Offline,H,11/18/2022,236423909,1943,$89.69,$62.19,$174267.67,$120835.17,$53432.5
2219,North America,Central African Republic,Meat,Offline,H,11/9/2017,730184257,6603,$436.35,$377.19,$2881219.05,$2490585.57,$390633.48
2220,North America,The Gambia,Meat,Online,M,6/6/2018,815651452,8245,$391.97,$338.82,$3231792.65,$2793570.9,$438221.75
2221,Asia,North Korea,Fruits,Online,C,7/7/2020,602249324,7813,$9.38,$6.96,$73285.94,$54378.48,$18907.46
2222,North America,Madagascar,Snacks,Offline,H,1/29/2023,719714200,8280,$167.26,$106.82,$1384912.8,$884469.6,$500443.2
2223,Central America and the Caribbean,El Salvador,Personal Care,Online,H,12/12/2023,968094909,9652,$88.17,$61.14,$851016.84,$590123.28,$260893.56
2224,Australia and Oceania,New Zealand,Office Supplies,Offline,H,6/6/2018,767752778,3963,$601.4,$484.81,$2383348.2,$1921302.03,$462046.17
2225,North America,The Gambia,Household,Online,M,4/10/2018,509361636,282,$713.1,$536.25,$201094.2,$151222.5,$49871.7
2226,North America,Liberia,Baby Food,Offline,L,9/15/2022,203907811,9707,$257.74,$160.95,$2501882.18,$1562341.65,$939540.53
2227,Middle East and North Africa,Oman,Personal Care,Offline,M,8/31/2022,832690131,369,$89.69,$62.19,$33095.61,$22948.11,$10147.5
2228,Asia,Singapore,Baby Food,Offline,C,9/22/2017,297319924,2428,$235.67,$147.18,$572206.76,$357353.04,$214853.72
2229,North America,Tanzania,Cereal,Offline,H,11/18/2019,169721019,3076,$197.33,$112.34,$606987.08,$345557.84,$261429.24
2230,Australia and Oceania,Marshall Islands,Office Supplies,Offline,L,6/26/2019,742129743,1537,$640.48,$516.31,$984417.76,$793568.47,$190849.29
2231,Australia and Oceania,Papua New Guinea,Clothes,Offline,C,4/21/2019,577094924,4067,$107.81,$35.36,$438463.27,$143809.12,$294654.15
2232,Central America and the Caribbean,Grenada,Vegetables,Online,C,3/4/2021,557477891,8951,$143.22,$84.53,$1281962.22,$756628.03,$525334.19
2233,North America,Seychelles ,Clothes,Online,M,1/21/2017,736452472,1507,$109.51,$35.92,$165031.57,$54131.44,$110900.13
2234,Central America and the Caribbean,Saint Lucia,Fruits,Offline,M,4/12/2018,787504994,9083,$8.73,$6.47,$79294.59,$58767.01,$20527.58
2235,Middle East and North Africa,Turkey,Fruits,Online,C,9/22/2018,454434287,6059,$8.73,$6.47,$52895.07,$39201.73,$13693.34
2236,North America,Sierra Leone,Household,Online,C,12/1/2018,901351678,8846,$713.1,$536.25,$6308082.6,$4743667.5,$1564415.1
2237,Asia,Laos,Beverages,Online,L,8/28/2016,662680995,888,$43.95,$29.44,$39027.6,$26142.72,$12884.88
2238,Europe,Cyprus,Clothes,Online,C,5/17/2018,593158566,7656,$109.01,$35.75,$834580.56,$273702.0,$560878.56
2239,Europe,Serbia,Vegetables,Offline,C,3/22/2020,717833220,1657,$167.61,$98.93,$277729.77,$163927.01,$113802.76
2240,Europe,Belgium,Vegetables,Online,H,5/26/2019,682066285,7426,$158.59,$93.61,$1177689.34,$695147.86,$482541.48
2241,North America,Zimbabwe,Clothes,Online,M,12/22/2017,201531589,6530,$109.51,$35.92,$715100.3,$234557.6,$480542.7
2242,Europe,Greece,Cereal,Online,H,1/24/2019,412215459,2569,$197.33,$112.34,$506940.77,$288601.46,$218339.31
2243,Asia,South Korea,Cosmetics,Offline,L,1/29/2021,720416724,6173,$418.06,$251.8,$2580684.38,$1554361.4,$1026322.98
2244,Europe,Bosnia and Herzegovina,Office Supplies,Offline,C,5/2/2016,152746713,2,$641.44,$517.08,$1282.88,$1034.16,$248.72
2245,North America,Mauritius ,Office Supplies,Offline,M,4/20/2020,506129252,3748,$699.12,$563.58,$2620301.76,$2112297.84,$508003.92
2246,Middle East and North Africa,Israel,Meat,Online,H,8/21/2019,497800672,9136,$394.44,$340.96,$3603603.84,$3115010.56,$488593.28
2247,Europe,Italy,Cereal,Online,M,1/6/2019,715309798,4920,$197.33,$112.34,$970863.6,$552712.8,$418150.8
2248,Europe,Belarus,Fruits,Online,L,8/1/2016,466517961,1886,$8.62,$6.39,$16257.32,$12051.54,$4205.78
2249,Middle East and North Africa,Iran,Fruits,Online,C,12/3/2022,929598987,7853,$9.98,$7.4,$78372.94,$58112.2,$20260.74
2250,Middle East and North Africa,Jordan,Fruits,Online,L,5/21/2019,203039205,2667,$9.06,$6.72,$24163.02,$17922.24,$6240.78
2251,North America,South Africa,Cosmetics,Online,C,6/20/2022,955637443,3210,$465.35,$280.28,$1493773.5,$899698.8,$594074.7
2252,North America,Benin,Beverages,Online,L,6/9/2019,976505029,8393,$47.12,$31.57,$395478.16,$264967.01,$130511.15
2253,Europe,Latvia,Meat,Offline,C,7/24/2017,825065791,4157,$436.35,$377.19,$1813906.95,$1567978.83,$245928.12
2254,North America,Lesotho,Meat,Offline,M,8/6/2017,681056058,8477,$436.35,$377.19,$3698938.95,$3197439.63,$501499.32
2255,Australia and Oceania,Fiji,Clothes,Online,L,7/31/2017,794524657,6357,$109.51,$35.92,$696155.07,$228343.44,$467811.63
2256,North America,Niger,Clothes,Offline,H,8/12/2016,135832917,4834,$107.69,$35.32,$520573.46,$170736.88,$349836.58
2257,North America,Swaziland,Fruits,Offline,M,8/25/2018,445654666,7974,$8.73,$6.47,$69613.02,$51591.78,$18021.24
2258,Europe,Iceland,Office Supplies,Online,L,2/18/2023,384976232,1877,$618.24,$498.38,$1160436.48,$935459.26,$224977.22
2259,Australia and Oceania,New Zealand,Baby Food,Offline,C,10/15/2018,485096442,9672,$262.74,$164.08,$2541221.28,$1586981.76,$954239.52
2260,Middle East and North Africa,Lebanon,Beverages,Offline,H,7/19/2022,897626626,6521,$48.07,$32.2,$313464.47,$209976.2,$103488.27
2261,Asia,South Korea,Clothes,Online,H,11/28/2017,944490611,4615,$109.51,$35.92,$505388.65,$165770.8,$339617.85
2262,Europe,Hungary,Office Supplies,Offline,C,9/18/2023,467924726,8179,$618.24,$498.38,$5056584.96,$4076250.02,$980334.94
2263,Europe,Greece,Cereal,Offline,L,10/23/2017,280477797,8468,$200.77,$114.3,$1700120.36,$967892.4,$732227.96
2264,Middle East and North Africa,Iran,Household,Online,M,5/21/2023,815011155,8767,$632.31,$475.5,$5543461.77,$4168708.5,$1374753.27
2265,Europe,Bulgaria,Fruits,Online,L,3/12/2022,774698626,9394,$9.98,$7.4,$93752.12,$69515.6,$24236.52
2266,Middle East and North Africa,Egypt,Meat,Online,H,8/17/2018,283026540,2697,$391.97,$338.82,$1057143.09,$913797.54,$143345.55
2267,Central America and the Caribbean,The Bahamas,Vegetables,Online,C,7/4/2023,433793723,8057,$141.08,$83.27,$1136681.56,$670906.39,$465775.17
2268,Middle East and North Africa,Azerbaijan,Fruits,Offline,C,12/26/2019,141111505,6885,$9.06,$6.72,$62378.1,$46267.2,$16110.9
2269,Asia,Kazakhstan,Baby Food,Offline,L,3/25/2021,189403712,7622,$230.66,$144.04,$1758090.52,$1097872.88,$660217.64
2270,Middle East and North Africa,Jordan,Baby Food,Online,M,9/27/2018,983406674,743,$262.74,$164.08,$195215.82,$121911.44,$73304.38
2271,Australia and Oceania,Marshall Islands,Snacks,Online,C,8/6/2023,298169219,3753,$167.26,$106.82,$627726.78,$400895.46,$226831.32
2272,Central America and the Caribbean,Barbados,Clothes,Online,H,8/23/2017,929052674,6187,$109.51,$35.92,$677538.37,$222237.04,$455301.33
2273,North America,Burkina Faso,Cosmetics,Online,H,4/21/2020,341730868,4613,$444.24,$267.57,$2049279.12,$1234300.41,$814978.71
2274,North America,Namibia,Cosmetics,Online,M,5/4/2023,122190129,7629,$399.45,$240.59,$3047404.05,$1835461.11,$1211942.94
2275,Australia and Oceania,East Timor,Beverages,Offline,M,5/15/2017,126729285,867,$45.51,$30.49,$39457.17,$26434.83,$13022.34
2276,North America,Liberia,Meat,Offline,L,3/21/2023,731959664,1985,$421.9,$364.7,$837471.5,$723929.5,$113542.0
2277,Central America and the Caribbean,Haiti,Baby Food,Offline,M,4/11/2020,584805095,5678,$236.58,$147.74,$1343301.24,$838867.72,$504433.52
2278,Europe,Slovenia,Cereal,Online,M,2/21/2018,652501904,8668,$212.12,$120.77,$1838656.16,$1046834.36,$791821.8
2279,North America,Zimbabwe,Snacks,Online,M,4/5/2021,172598922,4711,$142.54,$91.03,$671505.94,$428842.33,$242663.61
2280,Middle East and North Africa,Syria,Clothes,Online,L,6/5/2022,702957475,9593,$112.02,$36.74,$1074607.86,$352446.82,$722161.04
2281,Middle East and North Africa,Turkey,Household,Online,H,6/10/2022,271751391,6130,$685.69,$515.64,$4203279.7,$3160873.2,$1042406.5
2282,Central America and the Caribbean,El Salvador,Cereal,Online,L,1/3/2016,127467000,9173,$201.4,$114.66,$1847442.2,$1051776.18,$795666.02
2283,Europe,Bulgaria,Household,Online,M,5/31/2021,688903129,600,$680.42,$511.68,$408252.0,$307008.0,$101244.0
